TC031459	NC_007416.3:3990..4464	gene0|gene0|AUGUSTUS-3.0.2_31459|AUGUSTUS-3.0.2_31459|AUGUSTUS-3.0.2_31459|TcasGA2_TC031459
TC001593	NC_007416.3:6932..10744	gene1|BEETLEBASE:TC001593|AUGUSTUS-3.0.2_01593|AUGUSTUS-3.0.2_01593|AUGUSTUS-3.0.2_01593|TcasGA2_TC001593
TC001594	NC_007416.3:10866..17081	gene2|BEETLEBASE:TC001594|AUGUSTUS-3.0.2_01594|AUGUSTUS-3.0.2_01594|AUGUSTUS-3.0.2_01594|TcasGA2_TC001594
TC034512	NC_007416.3:17087..24874	gene3|gene3|AUGUSTUS-3.0.2_34512|AUGUSTUS-3.0.2_34512|AUGUSTUS-3.0.2_34512|TcasGA2_TC034512
TC004664	NC_007416.3:25266..27722	gene4|BEETLEBASE:TC004664|AUGUSTUS-3.0.2_04664|AUGUSTUS-3.0.2_04664|AUGUSTUS-3.0.2_04664|TcasGA2_TC004664
TC004701	NC_007416.3:28036..32314	gene5|BEETLEBASE:TC004701|AUGUSTUS-3.0.2_04701|AUGUSTUS-3.0.2_04701|AUGUSTUS-3.0.2_04701|TcasGA2_TC004701
TC031461	NC_007416.3:33265..34314	gene6|gene6|AUGUSTUS-3.0.2_31461|AUGUSTUS-3.0.2_31461|AUGUSTUS-3.0.2_31461|TcasGA2_TC031461;old_locus_tag=TcasGA2_TC004700
TC031462	NC_007416.3:34379..38609	gene7|gene7|AUGUSTUS-3.0.2_31462|AUGUSTUS-3.0.2_31462|AUGUSTUS-3.0.2_31462|TcasGA2_TC031462;old_locus_tag=TcasGA2_TC004700
TC004699	NC_007416.3:38706..40489	gene8|BEETLEBASE:TC004699|AUGUSTUS-3.0.2_04699|AUGUSTUS-3.0.2_04699|AUGUSTUS-3.0.2_04699|TcasGA2_TC004699
TC031463	NC_007416.3:39351..46364	gene9|gene9|AUGUSTUS-3.0.2_31463|AUGUSTUS-3.0.2_31463|AUGUSTUS-3.0.2_31463|TcasGA2_TC031463;old_locus_tag=TcasGA2_TC004665%2CTcasGA2_TC004666
TC031464	NC_007416.3:46931..53209	gene10|gene10|AUGUSTUS-3.0.2_31464|AUGUSTUS-3.0.2_31464|AUGUSTUS-3.0.2_31464|TcasGA2_TC031464;old_locus_tag=TcasGA2_TC004698
TC031465	NC_007416.3:54160..69659	gene11|gene11|AUGUSTUS-3.0.2_31465|AUGUSTUS-3.0.2_31465|AUGUSTUS-3.0.2_31465|TcasGA2_TC031465;old_locus_tag=TcasGA2_TC004698
TC004667	NC_007416.3:69771..74466	gene12|BEETLEBASE:TC004667|AUGUSTUS-3.0.2_04667|AUGUSTUS-3.0.2_04667|AUGUSTUS-3.0.2_04667|TcasGA2_TC004667
TC004697	NC_007416.3:74583..84489	gene13|BEETLEBASE:TC004697|AUGUSTUS-3.0.2_04697|AUGUSTUS-3.0.2_04697|AUGUSTUS-3.0.2_04697|TcasGA2_TC004697
TC004668	NC_007416.3:84006..84392	gene14|BEETLEBASE:TC004668|GLEAN_04668|GLEAN_04668|GLEAN_04668|TcasGA2_TC004668
TC004669	NC_007416.3:85901..88159	gene15|BEETLEBASE:TC004669|AUGUSTUS-3.0.2_04669|AUGUSTUS-3.0.2_04669|AUGUSTUS-3.0.2_04669|TcasGA2_TC004669
TC004670	NC_007416.3:88291..90168	gene16|BEETLEBASE:TC004670|AUGUSTUS-3.0.2_04670|AUGUSTUS-3.0.2_04670|AUGUSTUS-3.0.2_04670|TcasGA2_TC004670
TC004696	NC_007416.3:90172..96329	gene17|BEETLEBASE:TC004696|AUGUSTUS-3.0.2_04696|AUGUSTUS-3.0.2_04696|AUGUSTUS-3.0.2_04696|TcasGA2_TC004696
TC004695	NC_007416.3:96706..105089	gene18|BEETLEBASE:TC004695|AUGUSTUS-3.0.2_04695|AUGUSTUS-3.0.2_04695|AUGUSTUS-3.0.2_04695|TcasGA2_TC004695
TC031466	NC_007416.3:104691..109672	gene19|gene19|AUGUSTUS-3.0.2_31466|AUGUSTUS-3.0.2_31466|AUGUSTUS-3.0.2_31466|TcasGA2_TC031466;old_locus_tag=TcasGA2_TC004671
TC031467	NC_007416.3:109721..111277	gene20|gene20|AUGUSTUS-3.0.2_31467|AUGUSTUS-3.0.2_31467|AUGUSTUS-3.0.2_31467|TcasGA2_TC031467;old_locus_tag=TcasGA2_TC004671
TC031468	NC_007416.3:111282..116449	gene21|gene21|AUGUSTUS-3.0.2_31468|AUGUSTUS-3.0.2_31468|AUGUSTUS-3.0.2_31468|TcasGA2_TC031468;old_locus_tag=TcasGA2_TC004693%2CTcasGA2_TC004694
TC004672	NC_007416.3:117061..119795	gene22|BEETLEBASE:TC004672|AUGUSTUS-3.0.2_04672|AUGUSTUS-3.0.2_04672|AUGUSTUS-3.0.2_04672|TcasGA2_TC004672
TC004673	NC_007416.3:123101..135483	gene23|BEETLEBASE:TC004673|AUGUSTUS-3.0.2_04673|AUGUSTUS-3.0.2_04673|AUGUSTUS-3.0.2_04673|TcasGA2_TC004673
TC004692	NC_007416.3:129407..130093	gene24|BEETLEBASE:TC004692|GLEAN_04692|GLEAN_04692|GLEAN_04692|TcasGA2_TC004692
TC004674	NC_007416.3:142321..145265	gene25|BEETLEBASE:TC004674|AUGUSTUS-3.0.2_04674|AUGUSTUS-3.0.2_04674|AUGUSTUS-3.0.2_04674|TcasGA2_TC004674
TC004691	NC_007416.3:145362..149279	gene26|BEETLEBASE:TC004691|AUGUSTUS-3.0.2_04691|AUGUSTUS-3.0.2_04691|AUGUSTUS-3.0.2_04691|TcasGA2_TC004691
TC004675	NC_007416.3:150161..153696	gene27|BEETLEBASE:TC004675|AUGUSTUS-3.0.2_04675|AUGUSTUS-3.0.2_04675|AUGUSTUS-3.0.2_04675|TcasGA2_TC004675
TC004676	NC_007416.3:154281..166655	gene28|BEETLEBASE:TC004676|AUGUSTUS-3.0.2_04676|AUGUSTUS-3.0.2_04676|AUGUSTUS-3.0.2_04676|TcasGA2_TC004676
TC004690	NC_007416.3:166701..170239	gene29|BEETLEBASE:TC004690|AUGUSTUS-3.0.2_04690|AUGUSTUS-3.0.2_04690|AUGUSTUS-3.0.2_04690|TcasGA2_TC004690
TC004677	NC_007416.3:167421..169445	gene30|BEETLEBASE:TC004677|AUGUSTUS-3.0.2_04677|AUGUSTUS-3.0.2_04677|AUGUSTUS-3.0.2_04677|TcasGA2_TC004677
TC004678	NC_007416.3:170411..171469	gene31|BEETLEBASE:TC004678|AUGUSTUS-3.0.2_04678|AUGUSTUS-3.0.2_04678|AUGUSTUS-3.0.2_04678|TcasGA2_TC004678
TC004679	NC_007416.3:182201..185485	gene32|BEETLEBASE:TC004679|AUGUSTUS-3.0.2_04679|AUGUSTUS-3.0.2_04679|AUGUSTUS-3.0.2_04679|TcasGA2_TC004679
TC004689	NC_007416.3:185200..186700	gene33|BEETLEBASE:TC004689|GLEAN_04689|GLEAN_04689|GLEAN_04689|TcasGA2_TC004689
TC004680	NC_007416.3:186801..187145	gene34|BEETLEBASE:TC004680|AUGUSTUS-3.0.2_04680|AUGUSTUS-3.0.2_04680|AUGUSTUS-3.0.2_04680|TcasGA2_TC004680
TC004688	NC_007416.3:187147..187779	gene35|BEETLEBASE:TC004688|AUGUSTUS-3.0.2_04688|AUGUSTUS-3.0.2_04688|AUGUSTUS-3.0.2_04688|TcasGA2_TC004688
TC004682	NC_007416.3:188686..219510	gene36|BEETLEBASE:TC004682|AUGUSTUS-3.0.2_04682|AUGUSTUS-3.0.2_04682|AUGUSTUS-3.0.2_04682|TcasGA2_TC004682
TC004681	NC_007416.3:189881..204665	gene37|BEETLEBASE:TC004681|GLEAN_04681|GLEAN_04681|GLEAN_04681|TcasGA2_TC004681
TC004687	NC_007416.3:205408..205791	gene38|BEETLEBASE:TC004687|GLEAN_04687|GLEAN_04687|GLEAN_04687|TcasGA2_TC004687
TC004686	NC_007416.3:219972..222469	gene39|BEETLEBASE:TC004686|AUGUSTUS-3.0.2_04686|AUGUSTUS-3.0.2_04686|AUGUSTUS-3.0.2_04686|TcasGA2_TC004686
TC004683	NC_007416.3:222561..227243	gene40|BEETLEBASE:TC004683|AUGUSTUS-3.0.2_04683|AUGUSTUS-3.0.2_04683|AUGUSTUS-3.0.2_04683|TcasGA2_TC004683
TC031469	NC_007416.3:230042..234659	gene41|gene41|AUGUSTUS-3.0.2_31469|AUGUSTUS-3.0.2_31469|AUGUSTUS-3.0.2_31469|TcasGA2_TC031469
TC034513	NC_007416.3:230196..246370	gene42|gene42|AUGUSTUS-3.0.2_34513|AUGUSTUS-3.0.2_34513|AUGUSTUS-3.0.2_34513|TcasGA2_TC034513
TC004685	NC_007416.3:236311..236947	gene43|BEETLEBASE:TC004685|GLEAN_04685|GLEAN_04685|GLEAN_04685|TcasGA2_TC004685
TC031770	NC_007416.3:255425..258698	gene44|gene44|AUGUSTUS-3.0.2_31770|AUGUSTUS-3.0.2_31770|AUGUSTUS-3.0.2_31770|TcasGA2_TC031770;old_locus_tag=TcasGA2_TC001875%2CTcasGA2_TC001876
TC001874	NC_007416.3:261171..272568	gene45|BEETLEBASE:TC001874|AUGUSTUS-3.0.2_01874|AUGUSTUS-3.0.2_01874|AUGUSTUS-3.0.2_01874|TcasGA2_TC001874
TC001877	NC_007416.3:272810..278309	gene46|BEETLEBASE:TC001877|AUGUSTUS-3.0.2_01877|AUGUSTUS-3.0.2_01877|AUGUSTUS-3.0.2_01877|TcasGA2_TC001877
